read_code	icd10_code
A940.	A521
A941.	A521
A942.	A521D G01XA
A943.	A522
A94y.	A521
A94y0	A521D G050A
A94y1	A521D G22XA
A94y2	A527D H320A
A94y3	A521D H480A
A94y4	A521D H481A
A94y5	A521D H940A
A94y6	A520D
A94yz	A521
A94z.	A523
A95..	A527
A950.	A527D H190A
A951.	A527D J998A
A952.	A527D K672A
A953.	A527D K770A
A954.	A527D
A955.	A527D M902A
A956.	A527D M630A
A957.	A527D
A9570	A527D M680A
A9571	A527D M680A
A9572	A527D M731A
A957z	A527D
A95y.	A527
A95z.	A527
A96..	A528
A97..	A530-A539
A970.	A529
A971.	A530
A97z.	A539
A98..	A540-A549
A980.	A540
A9800	A541
A9801	A540
A9802	A540
A980z	A540
A981.	A542
A9810	A542
A9811	A540
A9812	A542D N510A
A9813	A542D N511A
A9814	A542D N518A
A9815	A540
A9816	A542D N743A
A9817	A542D N743A
A981z	A542
A982.	A540
A9820	A541
A9821	A540
A9822	A540
A982z	A540
A983.	A542
A9830	A542
A9831	A540
A9832	A542D N510A
A9833	A542D N511A
A9834	A542D N518A
A9835	A540
A9836	A542D N743A
A9837	A542D N743A
A983z	A542
A984.	A543
A9840	A543D H131A
A9841	A543D H220A
A9842	A543D
A9843	A543D
A984z	A543
A985.	A544D M013A
A9850	A544D M013A
A9851	A544D M680A
A9852	A544D M730A
A9853	A544D M493A
A985z	A544D M013A
A986.	A545
A987.	A546
A9870	A546
A9871	A546
A987z	A546
A98y.	A548
A98y0	A548D L86XA
A98y1	A548D G01XA
A98y2	A548D I320A
A98y3	A548D I398A
A98y4	A548D
A98y5	A548D K671A
A98y6	A548D K671A
A98yy	A548
A98yz	A548
A98z.	A549
A99..	A55X-A64X
A990.	A57X
A991.	A55X
A9910	A55X
A9911	A55X
A992.	A58X
A993.	M023
A994.	N341
A995.	N341
A99y.	A56-A63
A99z.	A64X
A9y..	A56-A63
A9z..	A50-A64
AA...	A65X-A69
AA0..	A270-A279
AA00.	A270
AA0y.	A278
AA0y0	A270D G01XA
AA0y1	A278
AA0yz	A278
AA0z.	A279
AA1..	A691
AA10.	A691
AA11.	A691
AA12.	A691
AA1z.	A691
AA2..	A660-A669
AA20.	A660
AA21.	A661
AA22.	A662
AA23.	A663
AA24.	A664
AA25.	A665
AA26.	A666
AA2x.	A667
AA2x0	A667
AA2x1	A667
AA2xz	A667
AA2y.	A668
AA2z.	A669
AA3..	A670-A679
AA30.	A670
AA31.	A671
AA32.	A672
AA33.	A673
AA3z.	A679
AA4..	A690-A699
AA40.	A65X
AA41.	A692
AA4y.	A698
AA4z.	A699
AAy..	A65-A69
AAz..	A699
AB...	B35-B49X
AB0..	B359
AB00.	B350
AB000	B350
AB001	B350
AB00z	B350
AB01.	B351
AB02.	B352
AB03.	B356
AB030	B356
AB031	B356
AB032	B356
AB03z	B356
AB04.	B353
AB05.	B354
AB06.	B358
AB0y.	B358
AB0y0	B355
AB0y1	B359
AB0z.	B359
AB1..	B358,B359
AB10.	B360
AB11.	B361
AB12.	B362
AB13.	B363
AB1X.	B369
AB1y.	B368
AB1z.	B369
AB2..	B379
AB20.	B370,B378
AB200	B370
AB201	B378
AB202	B378
AB20z	B370,B378
AB21.	B373D N771A
AB210	B373D N771A
AB211	B373D N771A
AB21z	B373D N771A
AB22.	B374
AB220	B374D N512A
AB221	B378
AB22z	B374
AB23.	B372
AB230	B372
AB231	B372
AB232	B372
AB233	B372
AB23z	B372
AB24.	B371D
AB25.	B378
AB2y.	B378
AB2y0	B376D I398A
AB2y1	B372D H622A
AB2y2	B375D G021A
AB2y3	B377
AB2y4	B378
AB2y5	B377
AB2yz	B378
AB2z.	B379
AB3..	B389
AB30.	B382D J172A
AB300	B380D J172A
AB301	B381D J172A
AB31.	B388
AB32.	B384D G021A
AB33.	B388
AB330	B387
AB331	B387
AB332	B383D
AB33z	B388
AB3z.	B389
AB4..	B399
AB40.	B394
AB400	B394
AB401	B394D
AB402	B399
AB403	B394D
AB404	B394D
AB405	B392D
AB406	B390
AB407	B391
AB408	B393
AB40z	B399
AB41.	B395
AB410	B395
AB411	B395D
AB412	B395D
AB413	B395D
AB414	B395D
AB415	B395D
AB41z	B395
AB42.	B392D
AB4z.	B399
AB4z0	B399
AB4z1	B399D
AB4z2	B399D
AB4z3	B399D
AB4z4	B399
AB4z5	B392D
AB4z6	B399
AB4zz	B399
AB5..	B409
AB50.	B409
AB500	B403D
AB501	B400D
AB502	B407
AB503	B408
AB504	B400D
AB505	B401D
AB506	B402D
AB50z	B409
AB51.	B419
AB510	B418
AB511	B410
AB512	B418
AB513	B417
AB51z	B419
AB52.	B480
AB5z.	B409
AB6..	B488
AB60.	B481
AB61.	B429
AB610	B421
AB611	B427
AB612	B421
AB613	B420D J998A
AB614	B428
AB61z	B429
AB62.	B439
AB620	B430D
AB621	B431D G07XA
AB622	B432D
AB62X	B439
AB63.	B449
AB630	B440D
AB631	B442D
AB632	B447
AB633	B441D J998A
AB634	B441D J998A
AB635	B449
AB636	B441D J998A
AB63X	B449
